mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,zcr,form1,form2,form3,form4,m_centr,m_rollof,m_flatness,label
-0.71347,-0.76287,-0.68535,-0.69563,-0.69389,-0.68178,-0.69185,-0.68844,-0.58842,-0.70538,-0.78482,-0.64331,-0.64244,0.062577,1395.7,1907.8,2579.8,3494.9,1206.4,2078.9,0.002866,bird
-0.70743,-0.75973,-0.79945,-0.75861,-0.65068,-0.56981,-0.6091,-0.54305,-0.58081,-0.58577,-0.52953,-0.56448,-0.65437,0.055121,702.3,1374.1,2098.1,2695.6,1174,1905.7,0.0012837,bird
-1.3523,-1.1882,-0.96527,-0.82486,-0.91773,-0.84013,-0.83506,-0.64097,-0.65291,-0.65231,-0.68112,-0.69931,-0.65968,0.0537,752.88,1338.8,1949.4,2981.4,1066.4,2141.7,0.0025465,bird
-1.4127,-1.3638,-1.0913,-0.79308,-0.70195,-0.6379,-0.68102,-0.7359,-0.86923,-0.94984,-1.0717,-1.0852,-1.1826,0.077472,775.08,804.57,1997.9,2724.2,964.53,2620.2,0.013305,bird
-0.57234,-0.52154,-0.50117,-0.39406,-0.62454,-0.51346,-0.4798,-0.45886,-0.49259,-0.47392,-0.52328,-0.4484,-0.4543,0.060758,953.46,1475.5,2605.7,3588.8,1225.6,2024.8,0.0039098,bird
-0.61083,-0.58122,-0.49665,-0.5308,-0.45015,-0.56715,-0.54038,-0.54243,-0.49122,-0.48066,-0.44205,-0.50585,-0.58994,0.077685,1271,1823.4,2576.8,3856.5,1409.9,3247,0.0052802,bird
-0.61577,-0.60652,-0.62805,-0.59988,-0.54489,-0.54542,-0.54373,-0.73046,-0.64769,-0.58978,-0.53738,-0.49391,-0.53986,0.049414,1195.8,1666.6,2570.9,3617.9,863.57,1946.6,0.0042383,bird
-0.58482,-0.64138,-0.56168,-0.69523,-0.65318,-0.72638,-0.72627,-0.70769,-0.72595,-0.68844,-0.70951,-0.66828,-0.75605,0.04966,600.65,1188.7,1847.2,3021.8,1035.3,1339,0.0015797,bird
-0.70528,-0.79628,-0.68616,-0.62006,-0.63839,-0.63263,-0.63013,-0.63417,-0.61787,-0.60638,-0.72266,-0.56823,-0.64822,0.059546,703.7,1296.9,2439.8,3211.1,1259.1,1799.5,0.00248,bird
-0.8461,-0.99189,-0.97188,-0.94031,-0.97613,-0.89163,-0.87157,-0.90103,-0.86888,-0.89691,-0.86996,-0.91448,-0.7097,0.059054,862.26,1324.3,2142.9,3132.7,1171.9,2013.1,0.0019309,bird
-0.69651,-0.65836,-0.67957,-0.57483,-0.54938,-0.52247,-0.562,-0.48394,-0.32726,-0.41089,-0.52272,-0.55231,-0.63907,0.066241,936.99,1315.5,2319,3614.5,1353.4,2155.6,0.0034798,bird
-0.7234,-0.64865,-0.6899,-0.62084,-0.58231,-0.57338,-0.59068,-0.69602,-0.73645,-0.7559,-0.7151,-0.60858,-0.64435,0.068052,844.69,1303.1,2685,3546.4,1378.4,2539.5,0.0051692,bird
-1.176,-1.1494,-1.1001,-0.91109,-0.8022,-0.75463,-0.79458,-0.99936,-0.95145,-0.98711,-1.0712,-1.3557,-1.3263,0.055287,612.43,1116.5,2149.4,3589.7,1039.7,2554.8,0.0053562,bird
-0.8588,-1.0711,-1.096,-1.2404,-1.2058,-1.2007,-1.2186,-1.1667,-1.2564,-1.2871,-1.2335,-1.1889,-1.2321,0.060907,331.29,979.73,2130.4,2832.7,1088.5,2821.7,0.0077983,bird
-0.98962,-1.0745,-0.97884,-1.0296,-0.81728,-0.55062,-0.49499,-0.47169,-0.45655,-0.50448,-0.66113,-0.91039,-1.1282,0.065853,655.92,889,1808,3012.8,1214.6,2608.1,0.004785,bird
-0.97993,-0.89739,-0.91806,-0.9604,-1.0014,-0.96593,-0.94774,-0.99392,-1.1256,-1.1086,-1.1877,-1.2224,-1.0734,0.050845,704.55,1192.4,1353.3,3026.2,1099.2,1272.2,0.0023258,bird
-0.96334,-1.055,-1.1563,-1.1302,-1.1964,-1.0621,-0.9255,-0.93094,-0.84845,-0.95154,-1.041,-0.98653,-0.96707,0.076736,1048.3,1265.6,2068.2,3239.8,1545.3,3096,0.0034706,bird
-1.3611,-1.3089,-1.0858,-0.89042,-0.79891,-0.98702,-1.0717,-0.9728,-0.8285,-0.91895,-1.0839,-1.0838,-1.0226,0.060294,849.42,1296.1,2335.7,3064.3,1295,2427,0.005549,bird
-1.5567,-1.4067,-1.1266,-0.96245,-1.042,-1.1,-1.214,-0.99709,-0.84452,-1.0283,-1.1333,-1.1019,-1.1067,0.048909,845.06,1291.8,2223.3,2937.8,1145.2,1703.5,0.0037583,bird
-1.0602,-0.98521,-1.0273,-1.143,-1.0977,-0.97956,-1.0238,-1.1571,-1.1322,-1.2745,-1.1334,-1.0053,-0.82419,0.060564,804.06,1185.3,1955.7,2838.4,1245.5,2244.4,0.004878,bird
-0.90747,-0.9385,-1.0349,-1.0186,-0.97094,-0.89807,-0.98256,-1.0253,-0.95054,-0.97389,-1.0468,-0.9957,-1.0362,0.09209,736.9,1836,3101.2,4048.3,1737.3,4405.1,0.0071181,bird
-0.71271,-0.77329,-0.83768,-0.78618,-0.72312,-0.77241,-0.8336,-0.72925,-0.73654,-0.85932,-0.802,-0.8653,-0.83824,0.05265,691.8,1190.9,2282.4,2952.4,1060.9,1956.8,0.0024414,bird
